港澳频道,#genre#
凤凰中文[🏠],http://218.104.239.114:9901/tsfile/live/1013_1.m3u8?$不见黄河心不死=txiptv&playlive=1&authid=0
凤凰资讯[🏠],http://218.104.239.114:9901/tsfile/live/1012_1.m3u8?$不见黄河心不死=txiptv&playlive=1&authid=0

影视频道,#genre#
爱大剧,http://123.10.77.207:808/hls/101/index.m3u8?$智慧光迅听说名字越长越好看
爱大剧,http://123.10.77.29:808/hls/101/index.m3u8?$智慧光迅听说名字越长越好看
爱大剧,http://123.10.78.65:808/hls/101/index.m3u8?$智慧光迅听说名字越长越好看
谍战剧场,http://123.10.77.207:808/hls/80/index.m3u8?$智慧光迅听说名字越长越好看
谍战剧场,http://123.10.77.29:808/hls/80/index.m3u8?$智慧光迅听说名字越长越好看
谍战剧场,http://123.10.78.65:808/hls/80/index.m3u8?$智慧光迅听说名字越长越好看
海南影视,http://153.0.171.163:9901/tsfile/live/1019_1.m3u8?$不见黄河心不死=txiptv&playlive=1&authid=0
家庭影院,http://123.10.77.207:808/hls/99/index.m3u8?$智慧光迅听说名字越长越好看
家庭影院,http://123.10.77.29:808/hls/99/index.m3u8?$智慧光迅听说名字越长越好看
家庭影院,http://123.10.78.65:808/hls/99/index.m3u8?$智慧光迅听说名字越长越好看
经典电影,http://123.10.77.207:808/hls/79/index.m3u8?$智慧光迅听说名字越长越好看
经典电影,http://123.10.77.29:808/hls/79/index.m3u8?$智慧光迅听说名字越长越好看
经典电影,http://123.10.78.65:808/hls/79/index.m3u8?$智慧光迅听说名字越长越好看
热播剧场,http://123.10.77.207:808/hls/82/index.m3u8?$智慧光迅听说名字越长越好看
热播剧场,http://123.10.77.29:808/hls/82/index.m3u8?$智慧光迅听说名字越长越好看
热播剧场,http://123.10.78.65:808/hls/82/index.m3u8?$智慧光迅听说名字越长越好看
影院,http://123.10.77.207:808/hls/98/index.m3u8?$智慧光迅听说名字越长越好看
影院,http://123.10.77.29:808/hls/98/index.m3u8?$智慧光迅听说名字越长越好看
影院,http://123.10.78.65:808/hls/98/index.m3u8?$智慧光迅听说名字越长越好看
